date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tournament_strength,home_form,away_form,form_diff,home_avg_goals_scored,away_avg_goals_scored,goals_scored_diff,home_avg_goals_conceded,away_avg_goals_conceded,goals_conceded_diff,home_elo,away_elo,elo_diff,target,home_country_x,home_group_x,home_acronym_x,home_confederation_x,home_qualifying_difficulty_x,home_mean_temp_last_10_yrs_x,home_climate_bonus_points_x,home_rank_x,home_total.points_x,home_previous.points_x,home_diff.points_x,away_country_x,away_group_x,away_acronym_x,away_confederation_x,away_qualifying_difficulty_x,away_mean_temp_last_10_yrs_x,away_climate_bonus_points_x,away_rank_x,away_total.points_x,away_previous.points_x,away_diff.points_x,elo_form_interaction,attack_defense_gap,elo_tournament_pressure,form_tournament_pressure,home_country_y,home_group_y,home_acronym_y,home_confederation_y,home_qualifying_difficulty_y,home_mean_temp_last_10_yrs_y,home_climate_bonus_points_y,home_rank_y,home_total.points_y,home_previous.points_y,home_diff.points_y,away_country_y,away_group_y,away_acronym_y,away_confederation_y,away_qualifying_difficulty_y,away_mean_temp_last_10_yrs_y,away_climate_bonus_points_y,away_rank_y,away_total.points_y,away_previous.points_y,away_diff.points_y
1992-02-12,portugal,netherlands,2.0,0.0,friendly,faro,portugal,False,0.3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0,portugal,K,POR,UEFA,5,16.5,1,6,1756.12,1752.68,3.43999999999983,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055,0.0,0.0,0.0,0.3,portugal,K,POR,UEFA,5,16.5,1,6,1756.12,1752.68,3.43999999999983,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055
1992-02-19,england,france,2.0,0.0,friendly,london,england,False,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0,england,L,ENG,UEFA,5,9.67,0,4,1813.81,1807.83,5.98000000000002,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,0.0,0.0,0.0,0.0,england,L,ENG,UEFA,5,9.67,0,4,1813.81,1807.83,5.98000000000002,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363
1992-02-26,brazil,united states,3.0,0.0,friendly,fortaleza,brazil,False,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0,brazil,C,BRA,CONMEBOL,6,25.78,2,5,1775.85,1784.37,-8.51999999999998,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,0.0,0.0,0.0,0.0,brazil,C,BRA,CONMEBOL,6,25.78,2,5,1775.85,1784.37,-8.51999999999998,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51
1992-02-26,tunisia,belgium,2.0,1.0,friendly,tunis,tunisia,False,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0,tunisia,F,TUN,CAF,4,21.06,1,52,1464.42,1478.52,-14.0999999999999,belgium,G,BEL,UEFA,5,11.41,0,8,1740.62,1761.27,-20.6500000000001,0.0,0.0,0.0,0.0,tunisia,F,TUN,CAF,4,21.06,1,52,1464.42,1478.52,-14.0999999999999,belgium,G,BEL,UEFA,5,11.41,0,8,1740.62,1761.27,-20.6500000000001
1992-03-11,spain,united states,2.0,0.0,friendly,valladolid,spain,False,0.3,1,0,1,0.0,0.0,0.0,0.0,3.0,3.0,1500.0,1480.0,20.0,0,spain,H,ESP,UEFA,5,14.67,0,3,1853.27,1844.33,8.94000000000005,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,20.0,-3.0,6.0,0.3,spain,H,ESP,UEFA,5,14.67,0,3,1853.27,1844.33,8.94000000000005,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51
1992-03-18,morocco,united states,3.0,1.0,friendly,casablanca,morocco,False,0.3,1,0,1,1.0,0.0,1.0,1.0,2.5,1.5,1501.1500225556908,1461.1500225556908,40.0,0,morocco,C,MAR,CAF,4,18.68,1,14,1688.18,1681.57,6.61000000000013,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,40.0,-1.5,12.0,0.3,morocco,C,MAR,CAF,4,18.68,1,14,1688.18,1681.57,6.61000000000013,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51
1992-03-25,france,belgium,3.0,3.0,friendly,paris,france,False,0.3,0,0,0,0.0,1.0,-1.0,2.0,2.0,0.0,1480.0,1480.0,0.0,1,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,belgium,G,BEL,UEFA,5,11.41,0,8,1740.62,1761.27,-20.6500000000001,0.0,-2.0,0.0,0.0,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,belgium,G,BEL,UEFA,5,11.41,0,8,1740.62,1761.27,-20.6500000000001
1992-04-22,tunisia,sweden,0.0,1.0,friendly,tunis,tunisia,False,0.3,3,1,2,2.0,0.0,2.0,1.0,0.6666666666666666,-0.33333333333333337,1520.0,1462.2924653504917,57.70753464950826,2,tunisia,F,TUN,CAF,4,21.06,1,52,1464.42,1478.52,-14.0999999999999,sweden,F,SWE,UEFA,5,3.72,0,27,1540.2,1530.41,9.78999999999996,115.41506929901652,1.3333333333333335,17.312260394852476,0.6,tunisia,F,TUN,CAF,4,21.06,1,52,1464.42,1478.52,-14.0999999999999,sweden,F,SWE,UEFA,5,3.72,0,27,1540.2,1530.41,9.78999999999996
1992-04-30,uruguay,brazil,1.0,0.0,friendly,montevideo,uruguay,False,0.3,0,3,-3,0.0,3.0,-3.0,0.0,0.0,0.0,1500.0,1520.0,-20.0,0,uruguay,H,URU,CONMEBOL,6,18.29,1,11,1695.91,1680.36,15.5500000000002,brazil,C,BRA,CONMEBOL,6,25.78,2,5,1775.85,1784.37,-8.51999999999998,60.0,0.0,-6.0,-0.8999999999999999,uruguay,H,URU,CONMEBOL,6,18.29,1,11,1695.91,1680.36,15.5500000000002,brazil,C,BRA,CONMEBOL,6,25.78,2,5,1775.85,1784.37,-8.51999999999998
1992-05-17,england,brazil,1.0,1.0,friendly,london,england,False,0.3,3,3,0,2.0,1.5,0.5,0.0,0.5,0.5,1520.0,1498.8499774443092,21.15002255569084,1,england,L,ENG,UEFA,5,9.67,0,4,1813.81,1807.83,5.98000000000002,brazil,C,BRA,CONMEBOL,6,25.78,2,5,1775.85,1784.37,-8.51999999999998,0.0,1.5,6.345006766707251,0.0,england,L,ENG,UEFA,5,9.67,0,4,1813.81,1807.83,5.98000000000002,brazil,C,BRA,CONMEBOL,6,25.78,2,5,1775.85,1784.37,-8.51999999999998
1992-05-17,united states,scotland,0.0,1.0,friendly,denver,united states,False,0.3,0,0,0,0.3333333333333333,0.0,0.3333333333333333,2.6666666666666665,0.0,-2.6666666666666665,1443.4424879061826,1500.0,-56.55751209381742,2,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001,-0.0,0.3333333333333333,-16.967253628145226,0.0,united states,D,USA,CONCACAF,2,10.15,0,16,1645.48,1630.97,14.51,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001
1992-05-20,canada,scotland,1.0,3.0,friendly,toronto,canada,False,0.3,0,3,-3,0.0,1.0,-1.0,0.0,0.0,0.0,1500.0,1516.772744176353,-16.772744176352944,2,canada,B,CAN,CONCACAF,2,-3.78,0,31,1515.96,1507.27,8.69000000000005,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001,50.31823252905883,0.0,-5.031823252905883,-0.8999999999999999,canada,B,CAN,CONCACAF,2,-3.78,0,31,1515.96,1507.27,8.69000000000005,scotland,C,SCO,UEFA,5,9.67,0,45,1480.24,1461.34,18.9000000000001
1992-05-27,netherlands,austria,3.0,2.0,friendly,sittard,netherlands,False,0.3,0,0,0,0.0,0.0,0.0,2.0,0.0,-2.0,1480.0,1500.0,-20.0,0,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055,austria,J,AUT,UEFA,5,8.34,0,22,1589.84,1589.17,0.669999999999845,-0.0,0.0,-6.0,0.0,netherlands,F,NED,UEFA,5,11.23,0,7,1747.55,1748.24,-0.690000000000055,austria,J,AUT,UEFA,5,8.34,0,22,1589.84,1589.17,0.669999999999845
1992-05-27,switzerland,france,2.0,1.0,friendly,lausanne,switzerland,False,0.3,0,1,-1,0.0,1.5,-1.5,0.0,2.5,2.5,1500.0,1480.0,20.0,0,switzerland,B,SUI,UEFA,5,7.35,0,20,1625.16,1631.38,-6.22000000000003,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363,-20.0,-2.5,6.0,-0.3,switzerland,B,SUI,UEFA,5,7.35,0,20,1625.16,1631.38,-6.22000000000003,france,I,FRA,UEFA,5,12.42,0,2,1859.78,1859.85,-0.0699999999999363
